GCAMRegion,Country,Series Name,Country Code,2022 [YR2022]
Africa_Eastern,Burundi,GDP (current US$),BDI,3338722828
Africa_Eastern,Comoros,GDP (current US$),COM,1242519408
Africa_Eastern,Djibouti,GDP (current US$),DJI,3674298479
Africa_Eastern,Ethiopia,GDP (current US$),ETH,1.27E+11
Africa_Eastern,Kenya,GDP (current US$),KEN,1.13E+11
Africa_Eastern,Madagascar,GDP (current US$),MDG,15302510500
Africa_Eastern,Mauritius,GDP (current US$),MUS,12927979286
Africa_Eastern,Rwanda,GDP (current US$),RWA,13316160804
Africa_Eastern,Somalia,GDP (current US$),SOM,10419541202
Africa_Eastern,Sudan,GDP (current US$),SDN,51666875363
Africa_Eastern,Uganda,GDP (current US$),UGA,45565333216
Africa_Northern,Algeria,GDP (current US$),DZA,2.26E+11
Central America and Caribbean,Antigua & Barbuda,GDP (current US$),ATG,1867733333
Africa_Northern,Libya,GDP (current US$),LBY,55938727098
Africa_Northern,Morocco,GDP (current US$),MAR,1.31E+11
Africa_Northern,Tunisia,GDP (current US$),TUN,44579761023
Central America and Caribbean,Bahamas,GDP (current US$),BHS,13136400000
Africa_Southern,Angola,GDP (current US$),AGO,1.04E+11
Africa_Southern,Botswana,GDP (current US$),BWA,20321958850
Africa_Southern,Lesotho,GDP (current US$),LSO,2289355249
Africa_Southern,Malawi,GDP (current US$),MWI,13129458326
Africa_Southern,Mozambique,GDP (current US$),MOZ,18406835495
Africa_Southern,Namibia,GDP (current US$),NAM,12567271005
Africa_Southern,Tanzania,GDP (current US$),TZA,75769974505
Africa_Southern,Zambia,GDP (current US$),ZMB,29163782140
Africa_Southern,Zimbabwe,GDP (current US$),ZWE,27366627153
Africa_Western,Benin,GDP (current US$),BEN,17425418044
Africa_Western,Burkina Faso,GDP (current US$),BFA,18820219331
Africa_Western,Cameroon,GDP (current US$),CMR,43644068311
Africa_Western,Central African Republic,GDP (current US$),CAF,2382618615
Africa_Western,Chad,GDP (current US$),TCD,12396807590
Africa_Western,Congo,GDP (current US$),COG,15817030157
Africa_Western,Equatorial Guinea,GDP (current US$),GNQ,13486788879
Africa_Western,Gabon,GDP (current US$),GAB,21071739228
Africa_Western,Cote d���,GDP (current US$),CIV,70173140101
Africa_Western,Ghana,GDP (current US$),GHA,74263364042
Africa_Western,Guinea,GDP (current US$),GIN,20999229260
Africa_Western,Guinea-Bissau,GDP (current US$),GNB,1714166526
Africa_Western,Liberia,GDP (current US$),LBR,4001047000
Africa_Western,Mali,GDP (current US$),MLI,18780322204
Africa_Western,Mauritania,GDP (current US$),MRT,9744039515
Africa_Western,Niger,GDP (current US$),NER,15433852712
Africa_Western,Nigeria,GDP (current US$),NGA,4.73E+11
Africa_Western,Sao Tome and Principe,GDP (current US$),STP,542686976.5
Africa_Western,Senegal,GDP (current US$),SEN,27619479060
Africa_Western,Sierra Leone,GDP (current US$),SLE,4094563859
Argentina,Argentina,GDP (current US$),ARG,6.31E+11
Australia_NZ,Australia,GDP (current US$),AUS,1.69E+12
Australia_NZ,New Zealand,GDP (current US$),NZL,2.47E+11
Brazil,Brazil,GDP (current US$),BRA,1.95E+12
Canada,Canada,GDP (current US$),CAN,2.16E+12
EU-12,Czech Republic,GDP (current US$),CZE,2.91E+11
Southeast Asia,Democratic Peoples Republic of Korea,GDP (current US$),KOR,1.67E+12
Central America and Caribbean,Aruba,GDP (current US$),ABW,3544707788
Africa_Western,Democratic Republic of the Congo,GDP (current US$),COD,65801547620
Central America and Caribbean,Barbados,GDP (current US$),BRB,5840673700
Central America and Caribbean,Belize,GDP (current US$),BLZ,2830507576
Central America and Caribbean,Bermuda,GDP (current US$),BMU,7827980000
Central America and Caribbean,Cayman Islands,GDP (current US$),CYM,6600844002
Central America and Caribbean,Costa Rica,GDP (current US$),CRI,69243626029
Central America and Caribbean,Dominica,GDP (current US$),DMA,607159259.3
Central America and Caribbean,Dominican Republic,GDP (current US$),DOM,1.14E+11
Central America and Caribbean,El Salvador,GDP (current US$),SLV,31988920000
Central America and Caribbean,Grenada,GDP (current US$),GRD,1224577778
Africa_Northern,Egypt,GDP (current US$),EGY,4.77E+11
Central America and Caribbean,Guatemala,GDP (current US$),GTM,95003330316
Central America and Caribbean,Haiti,GDP (current US$),HTI,20253551921
Central America and Caribbean,Honduras,GDP (current US$),HND,31426041807
Central America and Caribbean,Jamaica,GDP (current US$),JAM,17097760687
Southeast Asia,Federated States of Micronesia,GDP (current US$),FSM,430000000
Africa_Western,Gambia,GDP (current US$),GMB,2175099790
Central America and Caribbean,Nicaragua,GDP (current US$),NIC,15649934215
Central America and Caribbean,Panama,GDP (current US$),PAN,76522511781
Middle East,Iran,GDP (current US$),IRN,4.13E+11
Central Asia,Kyrgyzstan,GDP (current US$),KGZ,12134931018
Central America and Caribbean,Trinidad and Tobago,GDP (current US$),TTO,30053575132
Central Asia,Armenia,GDP (current US$),ARM,19513474648
Central Asia,Azerbaijan,GDP (current US$),AZE,78807470588
Central Asia,Georgia,GDP (current US$),GEO,24984568960
Central Asia,Kazakhstan,GDP (current US$),KAZ,2.25E+11
Southeast Asia,Lao Peoples Democratic Republic,GDP (current US$),LAO,15468785204
Central Asia,Mongolia,GDP (current US$),MNG,17146471714
Central Asia,Tajikistan,GDP (current US$),TJK,10713525200
Central Asia,Turkmenistan,GDP (current US$),TKM,56542857143
Central Asia,Uzbekistan,GDP (current US$),UZB,81140823252
China,China,GDP (current US$),CHN,1.79E+13
Colombia,Colombia,GDP (current US$),COL,3.45E+11
EU-12,Bulgaria,GDP (current US$),BGR,90346169915
EU-12,Cyprus,GDP (current US$),CYP,29250532020
Europe_Non_EU,Macedonia,GDP (current US$),MKD,13711469681
EU-12,Estonia,GDP (current US$),EST,37921480882
EU-12,Hungary,GDP (current US$),HUN,1.77E+11
EU-12,Latvia,GDP (current US$),LVA,40422521943
EU-12,Lithuania,GDP (current US$),LTU,71013953448
EU-12,Malta,GDP (current US$),MLT,18357069273
EU-12,Poland,GDP (current US$),POL,6.90E+11
EU-12,Romania,GDP (current US$),ROU,2.99E+11
EU-12,Slovenia,GDP (current US$),SVN,60063475466
EU-15,Andorra,GDP (current US$),AND,3380602043
EU-15,Austria,GDP (current US$),AUT,4.71E+11
EU-15,Belgium,GDP (current US$),BEL,5.84E+11
EU-15,Denmark,GDP (current US$),DNK,4.00E+11
EU-15,Finland,GDP (current US$),FIN,2.82E+11
EU-15,France,GDP (current US$),FRA,2.78E+12
EU-15,Germany,GDP (current US$),DEU,4.08E+12
EU-15,Greece,GDP (current US$),GRC,2.18E+11
EU-15,Ireland,GDP (current US$),IRL,5.33E+11
EU-15,Italy,GDP (current US$),ITA,2.07E+12
EU-15,Luxembourg,GDP (current US$),LUX,81641807866
EU-15,Monaco,GDP (current US$),MCO,8784002932
EU-15,Netherlands,GDP (current US$),NLD,1.01E+12
EU-15,Portugal,GDP (current US$),PRT,2.55E+11
EU-15,Spain,GDP (current US$),ESP,1.42E+12
EU-15,Sweden,GDP (current US$),SWE,5.90E+11
EU-15,United Kingdom,GDP (current US$),GBR,3.09E+12
Europe_Eastern,Belarus,GDP (current US$),BLR,73775179925
Europe_Eastern,Moldova,GDP (current US$),MDA,14510490660
Europe_Eastern,Ukraine,GDP (current US$),UKR,1.62E+11
Europe_Non_EU,Albania,GDP (current US$),ALB,18916378861
Europe_Non_EU,Bosnia and Herzegovina,GDP (current US$),BIH,24534663636
Europe_Non_EU,Croatia,GDP (current US$),HRV,71997070660
Europe_Non_EU,Montenegro,GDP (current US$),MNE,6229801581
Europe_Non_EU,Serbia,GDP (current US$),SRB,63563410721
European Free Trade Association,Iceland,GDP (current US$),ISL,28701830402
European Free Trade Association,Norway,GDP (current US$),NOR,5.94E+11
European Free Trade Association,Switzerland,GDP (current US$),CHE,8.18E+11
India,India,GDP (current US$),IND,3.35E+12
Indonesia,Indonesia,GDP (current US$),IDN,1.32E+12
Japan,Japan,GDP (current US$),JPN,4.26E+12
Mexico,Mexico,GDP (current US$),MEX,1.46E+12
Middle East,Bahrain,GDP (current US$),BHR,44383297872
Middle East,Iraq,GDP (current US$),IRQ,2.87E+11
Middle East,Israel,GDP (current US$),ISR,5.25E+11
Middle East,Jordan,GDP (current US$),JOR,48653381831
Middle East,Kuwait,GDP (current US$),KWT,1.83E+11
Middle East,Lebanon,GDP (current US$),LBN,20992421949
Middle East,Oman,GDP (current US$),OMN,1.15E+11
Middle East,Qatar,GDP (current US$),QAT,2.36E+11
Middle East,Saudi Arabia,GDP (current US$),SAU,1.11E+12
Middle East,United Arab Emirates,GDP (current US$),ARE,5.07E+11
Pakistan,Pakistan,GDP (current US$),PAK,3.75E+11
South Africa,South Africa,GDP (current US$),ZAF,4.05E+11
South America_Northern,Guyana,GDP (current US$),GUY,14718388489
South America_Northern,Suriname,GDP (current US$),SUR,3620987993
South America_Southern,Bolivia,GDP (current US$),BOL,44008282880
South America_Southern,Chile,GDP (current US$),CHL,3.02E+11
South America_Southern,Ecuador,GDP (current US$),ECU,1.17E+11
South America_Southern,Paraguay,GDP (current US$),PRY,41952910858
South America_Southern,Peru,GDP (current US$),PER,2.46E+11
South America_Southern,Uruguay,GDP (current US$),URY,70164683290
South Asia,Afghanistan,GDP (current US$),AFG,14502158192
South Asia,Bangladesh,GDP (current US$),BGD,4.60E+11
South Asia,Bhutan,GDP (current US$),BTN,2898227713
South Asia,Maldives,GDP (current US$),MDV,6170638746
South Asia,Nepal,GDP (current US$),NPL,41182939601
South Asia,Sri Lanka,GDP (current US$),LKA,74144875098
Russia,Russia,GDP (current US$),RUS,2.27E+12
Southeast Asia,American Samoa,GDP (current US$),ASM,871000000
Southeast Asia,Brunei Darussalam,GDP (current US$),BRN,16681536467
Southeast Asia,Cambodia,GDP (current US$),KHM,29504829319
Central America and Caribbean,Saint Kitts and Nevis,GDP (current US$),KNA,981429629.6
Central America and Caribbean,Saint Lucia,GDP (current US$),LCA,2343703788
Central America and Caribbean,Saint Vincent and the Grenadines,GDP (current US$),VCT,966492592.6
EU-12,Slovakia,GDP (current US$),SVK,1.16E+11
South Korea,South Korea,GDP (current US$),KOR,1.67E+12
Southeast Asia,Fiji,GDP (current US$),FJI,4979979531
Southeast Asia,French Polynesia,GDP (current US$),PYF,5814661209
Southeast Asia,Guam,GDP (current US$),GUM,6910000000
Southeast Asia,Kiribati,GDP (current US$),KIR,270520731.6
Southeast Asia,Malaysia,GDP (current US$),MYS,4.07E+11
Southeast Asia,Marshall Islands,GDP (current US$),MHL,258774475.1
Southeast Asia,Myanmar,GDP (current US$),MMR,62253049892
Southeast Asia,Nauru,GDP (current US$),NRU,153824609.5
Southeast Asia,New Caledonia,GDP (current US$),NCL,9623318718
Southeast Asia,Timor Leste,GDP (current US$),TLS,3204753000
Southeast Asia,Palau,GDP (current US$),PLW,242333709.7
Southeast Asia,Papua New Guinea,GDP (current US$),PNG,31603619037
Southeast Asia,Philippines,GDP (current US$),PHL,4.04E+11
Europe_Non_EU,Turkey,GDP (current US$),TUR,9.07E+11
Southeast Asia,Samoa,GDP (current US$),WSM,832945205.6
Southeast Asia,Seychelles,GDP (current US$),SYC,2057968520
Southeast Asia,Singapore,GDP (current US$),SGP,4.98E+11
Southeast Asia,Solomon Islands,GDP (current US$),SLB,1566360686
Southeast Asia,Thailand,GDP (current US$),THA,4.96E+11
Southeast Asia,Tonga,GDP (current US$),TON,500274898.1
Southeast Asia,Tuvalu,GDP (current US$),TUV,59065982.09
Southeast Asia,Vanuatu,GDP (current US$),VUT,1022219298
Southeast Asia,Viet Nam,GDP (current US$),VNM,4.10E+11
USA,United States,GDP (current US$),USA,2.57E+13
